 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,1555200,105.506,0,353,164083460.000,164083460.000
2,1555200,128.164,0,439,199320277.000,199320277.000
3,1555200,147.023,0,483,228650764.000,228650764.000
4,1555200,161.291,0,527,250840336.000,250840336.000
5,1555200,171.284,0,629,266381153.000,266381153.000
6,1555200,177.625,0,593,276242978.000,276242978.000
7,1555200,177.962,0,584,276765781.000,276765781.000
8,1555200,173.868,0,589,270398811.000,270398811.000
9,1555200,165.941,0,564,258071684.000,258071684.000
10,1555200,152.163,0,534,236643589.000,236643589.000
11,1555200,135.597,0,468,210880870.000,210880870.000
