 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,1555200,118.571,0,445,184401126.000,184401126.000
2,1555200,147.752,0,549,229784166.000,229784166.000
3,1555200,160.076,0,593,248950438.000,248950438.000
4,1555200,155.287,0,577,241503053.000,241503053.000
5,1555200,133.973,0,462,208355576.000,208355576.000
6,1555200,98.519,0,330,153217271.000,153217271.000
7,1555200,56.594,0,205,88014302.000,88014302.000
8,1555200,42.185,0,205,65606044.000,65606044.000
9,1555200,79.897,0,265,124256427.000,124256427.000
10,1555200,119.648,0,402,186076960.000,186076960.000
