 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,1555200,124.015,0,454,192868238.000,192868238.000
2,1555200,94.973,0,316,147701690.000,147701690.000
3,1555200,145.610,0,524,226452981.000,226452981.000
4,1555200,158.120,0,549,245908021.000,245908021.000
5,1555200,161.727,0,549,251517556.000,251517556.000
6,1555200,155.396,0,562,241671389.000,241671389.000
7,1555200,139.325,0,489,216678417.000,216678417.000
8,1555200,115.342,0,405,179379414.000,179379414.000
9,1555200,84.821,0,277,131913823.000,131913823.000
10,1555200,53.243,0,217,82803814.000,82803814.000
11,1555200,40.280,0,237,62643370.000,62643370.000
12,1555200,62.725,0,217,97550210.000,97550210.000
13,1555200,94.923,0,330,147623914.000,147623914.000
14,1555200,123.089,0,438,191427505.000,191427505.000
15,1555200,144.734,0,478,225089781.000,225089781.000
16,1555200,157.834,0,573,245464031.000,245464031.000
